Date,Close/Last,Volume,Open,High,Low
12/23/2021,$171.31,4017435,$170.5,$171.99,$166.89
12/22/2021,$169.29,4802483,$165.68,$170.68,$162.8
12/21/2021,$165.66,6293459,$159.5,$167.275,$158.37
12/20/2021,$157.23,4639263,$151.16,$158.48,$151
12/17/2021,$157.91,24062440,$154.62,$158.31,$149.44
12/16/2021,$156.38,9415120,$166.25,$167.73,$153.6
12/15/2021,$168.14,6678543,$167.6401,$168.9599,$160.18
12/14/2021,$167.96,5660417,$168.298,$169.91,$164.5
12/13/2021,$171.04,7263664,$178.25,$180,$168.89
12/10/2021,$180.42,3980441,$178.15,$181.1,$175.8535
12/09/2021,$181.46,3518025,$182.09,$185.302,$179.28
12/08/2021,$186.49,4218671,$186,$187.5,$182.14
12/07/2021,$183.14,6264558,$185.61,$187.5,$182.02
12/06/2021,$180.85,9813848,$167.275,$181.93,$162.85
12/03/2021,$166.75,6460855,$168.98,$170.73,$162.14
12/02/2021,$169.6,5687601,$161.36,$170.295,$160.49
12/01/2021,$163.08,7657589,$174.01,$180.13,$162.03
11/30/2021,$172.54,10682740,$176.405,$180.64,$170.921
11/29/2021,$180.08,5317368,$176.88,$180.7,$175.9
11/26/2021,$173.86,6044126,$167.76,$174.64,$167.04
11/24/2021,$179.89,4763328,$175.63,$182.78,$175
11/23/2021,$178.27,6456729,$181.143,$183.73,$175.25
11/22/2021,$181.73,12626360,$190.44,$190.76,$176.72
11/19/2021,$196.42,8185488,$196.6,$199.36,$190.5
11/18/2021,$204.33,4601086,$199.34,$205,$196
11/17/2021,$199.11,6383375,$207,$212.5838,$198.4
11/16/2021,$207.04,4431316,$205.59,$209.93,$203.47
11/15/2021,$207.21,7479309,$206.2,$209.24,$204.16
11/12/2021,$206.54,12057830,$192.465,$208.16,$192.06
11/11/2021,$191.61,5899031,$195.2,$197.93,$190.77
11/10/2021,$192.22,6704083,$190.23,$195,$189.28
11/09/2021,$194.68,9056091,$201.44,$201.5,$187.5
11/08/2021,$200.32,12855320,$203.35,$211.3361,$199.75
11/05/2021,$201.62,27330520,$186.15,$203.295,$185.9441
11/04/2021,$178.45,9664613,$175.95,$179.435,$173.96
11/03/2021,$172.87,2827068,$171.89,$173.75,$170.93
11/02/2021,$172.87,3292058,$174.95,$175.3,$170.58
11/01/2021,$174.6,4401097,$170.5,$175.44,$170.5
10/29/2021,$170.66,2294417,$171.39,$171.39,$168.8486
10/28/2021,$171.7,2143659,$170.2,$171.85,$168.71
10/27/2021,$169.1,3009842,$170.74,$172.65,$168.88
10/26/2021,$171.14,2937893,$170.4,$172.0003,$167.9
10/25/2021,$169.24,2620794,$166.69,$170.3289,$166.65
10/22/2021,$166.64,2985991,$169.3,$169.44,$165.16
10/21/2021,$170.5,2889355,$169.074,$171.53,$167.7
10/20/2021,$169.76,2687022,$170.06,$171.94,$168.2
10/19/2021,$170.74,2776646,$172.57,$172.81,$170.06
10/18/2021,$172.32,2793704,$167.5,$172.7,$167.11
