Date,Close/Last,Volume,Open,High,Low
10/20/2021,$137.346,6189255,$137.133,$137.6364,$136.1845
10/19/2021,$137.4234,4339548,$136.5523,$138.3526,$136.0104
10/18/2021,$137.7525,6154055,$139.3786,$140.2884,$137.2095
10/15/2021,$139.969,3222778,$138.7882,$140.2013,$138.2074
10/14/2021,$138.7882,4217305,$136.5136,$139.3012,$136.4846
10/13/2021,$136.2426,2880747,$136.0103,$136.8717,$135.1779
10/12/2021,$135.9619,3148559,$137.646,$137.7332,$135.7973
10/11/2021,$137.859,2793298,$138.8946,$139.456,$137.8299
10/08/2021,$138.6236,3731279,$137.2589,$139.0398,$136.5233
10/07/2021,$137.2589,3823803,$138.1494,$138.793,$136.9879
10/06/2021,$137.7912,5328433,$137.9074,$138.7688,$136.3684
10/05/2021,$138.5559,6976648,$140.1045,$140.3465,$138.0622
10/04/2021,$139.4851,7351128,$138.159,$141.3144,$137.7816
10/01/2021,$138.7204,6604064,$136.4749,$139.3496,$135.8651
09/30/2021,$134.4713,5824431,$135.507,$136.0587,$134.0551
09/29/2021,$134.7133,3774236,$133.3098,$135.4392,$132.0612
09/28/2021,$133.0582,4314595,$134.7036,$135.205,$132.8065
09/27/2021,$134.1132,3306865,$133.5324,$134.602,$133.0678
09/24/2021,$133.0775,2964397,$132.6323,$134.0357,$132.3613
09/23/2021,$132.3419,3013238,$130.9094,$133.0098,$130.6965
09/22/2021,$130.3093,3602416,$129.4285,$131.0256,$129.1865
09/21/2021,$128.7026,4074528,$130.7739,$131.2966,$128.6735
09/20/2021,$129.9996,4770651,$129.6027,$130.8417,$128.5187
09/17/2021,$130.8901,5633480,$131.3934,$131.5578,$130.7158
09/16/2021,$132.0515,2643975,$132.8743,$133.5228,$131.3546
09/15/2021,$132.7968,3254122,$131.8483,$133.3776,$131.3159
09/14/2021,$131.8483,4454291,$133.9583,$134.1229,$130.9965
09/13/2021,$133.7163,4144345,$133.9583,$134.5294,$133.0969
09/10/2021,$132.6226,3975115,$134.3648,$134.8971,$132.6032
09/09/2021,$133.3195,3508363,$133.426,$134.5003,$133.1404
09/08/2021,$134.2196,2985409,$133.7067,$134.6262,$133.184
09/07/2021,$133.6292,3285363,$135.1682,$135.3037,$133.3402
